time,theta_b,dtheta_b,dtheta_w
1018.96,-7.01,-0.50,-24.11,-1.00
1024.02,-7.02,-0.68,-1.58,-1.00
1029.10,-7.02,-0.72,1.81,-1.00
1034.18,-7.02,-0.96,-23.79,-1.00
1039.25,-7.03,-1.38,-6.34,-1.00
1044.33,-7.04,-1.24,-11.92,-1.00
1049.40,-7.04,-1.42,-21.33,-1.00
1054.48,-7.05,-1.48,-21.12,-1.00
1059.55,-7.06,-1.75,-10.74,-1.00
1064.59,-7.07,-1.84,-23.52,-1.00
1069.65,-7.08,-1.49,-26.32,-1.00
1074.72,-7.08,-1.54,-15.17,-1.00
1079.80,-7.09,-1.40,-22.52,-1.00
1084.87,-7.10,-1.31,-6.53,-1.00
1089.94,-7.10,-1.36,-15.58,-1.00
1095.02,-7.11,-1.04,-15.49,-1.00
1100.05,-7.11,-0.78,-18.85,-1.00
1105.12,-7.12,-0.61,-29.91,-1.00
1110.20,-7.12,-0.86,-15.32,-1.00
1115.28,-7.13,-0.88,-12.73,-1.00
1120.35,-7.13,-0.91,-31.89,-1.00
1125.43,-7.14,-1.07,-10.43,-1.00
1130.51,-7.14,-1.17,-11.20,-1.00
1135.57,-7.15,-1.69,-17.93,-1.00
1140.65,-7.16,-1.97,-12.92,-1.00
1145.72,-7.17,-1.76,8.17,-1.00
1150.80,-7.18,-2.00,-22.55,-1.00
1155.87,-7.19,-1.99,-7.22,-1.00
1160.95,-7.20,-1.62,-5.53,-1.00
1166.03,-7.20,-1.47,-26.45,-1.00
1171.10,-7.21,-1.44,-18.88,-1.00
1176.18,-7.22,-0.85,-8.23,-1.00
1181.25,-7.22,-0.64,-14.53,-1.00
1186.33,-7.22,-0.41,-15.21,-1.00
1191.41,-7.22,-0.18,0.48,-1.00
1196.48,-7.22,-0.26,-29.27,-1.00
1201.56,-7.22,-0.35,-21.25,-1.00
1206.63,-7.23,-0.38,-5.19,-1.00
1211.71,-7.23,-0.38,-18.90,-1.00
1216.78,-7.23,-0.61,-24.15,-1.00
1221.86,-7.23,-0.33,-5.36,-1.00
1226.93,-7.23,-0.26,-10.64,-1.00
1232.01,-7.23,-0.05,-25.10,-1.00
1237.08,-7.23,0.14,-8.50,-1.00
1242.16,-7.23,0.19,-14.00,-1.00
1247.24,-7.23,0.29,-28.16,-1.00
1252.31,-7.23,0.21,-23.89,-1.00
1257.39,-7.23,0.32,-20.32,-1.00
1262.46,-7.23,0.19,-29.08,-1.00
1267.54,-7.23,-0.06,-14.62,-1.00
1272.62,-7.23,-0.41,-16.77,-1.00
1277.69,-7.23,-0.63,-22.13,-1.00
1282.77,-7.24,-0.97,-22.01,-1.00
1287.84,-7.24,-1.17,-16.00,-1.00
1292.92,-7.25,-1.33,-31.85,-1.00
1297.99,-7.26,-1.15,-22.36,-1.00
1303.07,-7.26,-1.18,-17.51,-1.00
1308.15,-7.27,-1.41,-27.00,-1.00
1313.22,-7.27,-1.11,-19.02,-1.00
1318.30,-7.28,-0.75,-18.86,-1.00
1323.37,-7.28,-0.41,0.57,-1.00
1328.45,-7.28,-0.29,-25.63,-1.00
1333.52,-7.28,-0.22,-13.28,-1.00
1338.60,-7.28,0.22,-25.56,-1.00
1343.66,-7.28,0.18,-31.17,-1.00
1348.74,-7.28,0.30,-18.11,-1.00
1353.82,-7.28,-0.15,-25.27,-1.00
1358.86,-7.28,-0.51,-21.84,-1.00
1363.90,-7.28,-0.51,-24.22,-1.00
1368.97,-7.29,-0.88,-27.36,-1.00
1374.05,-7.29,-1.03,-11.24,-1.00
1379.10,-7.31,-1.29,-16.14,-1.00
1384.16,-7.31,-1.13,-20.26,-1.00
1389.23,-7.31,-0.77,35.62,-1.00
1394.27,-7.32,-0.76,44.33,-1.00
1399.34,-7.32,-0.72,-3.32,-1.00
1404.42,-7.32,-0.46,12.09,-1.00
