time,theta_b,dtheta_b,dtheta_w
307.21,0.37,-0.95,-170.62,0.00
308.35,0.37,-0.95,-170.62,0.00
309.51,0.37,-0.95,-170.62,0.00
310.65,0.37,-1.28,-168.75,0.00
311.79,0.37,-1.28,-168.75,0.00
312.92,0.37,-1.28,-168.75,0.00
314.06,0.37,-1.28,-168.75,0.00
315.20,0.37,-1.28,-168.75,0.00
316.33,0.36,-1.00,-168.75,0.00
317.46,0.36,-1.00,-168.75,0.00
318.60,0.36,-1.00,-166.87,0.00
319.73,0.36,-1.00,-166.87,0.00
320.86,0.36,-1.19,-166.87,0.00
321.99,0.36,-1.19,-166.87,0.00
323.12,0.36,-1.19,-168.75,0.00
324.25,0.36,-1.19,-168.75,0.00
325.39,0.35,-0.94,-168.75,0.00
326.52,0.35,-0.94,-168.75,0.00
327.65,0.35,-0.94,-168.75,0.00
328.78,0.35,-0.94,-168.75,0.00
329.92,0.35,-0.94,-168.75,0.00
331.05,0.35,-1.02,-170.62,0.00
332.18,0.35,-1.02,-170.62,0.00
333.32,0.35,-1.02,-170.62,0.00
334.49,0.35,-1.02,-168.75,0.00
335.62,0.34,-1.28,-168.75,0.00
336.75,0.34,-1.28,-168.75,0.00
337.88,0.34,-1.28,-170.62,0.00
339.01,0.34,-1.28,-170.62,0.00
340.15,0.33,-1.20,-170.62,0.00
341.29,0.33,-1.20,-170.62,0.00
342.42,0.33,-1.20,-170.62,0.00
343.55,0.33,-1.20,-170.62,0.00
344.69,0.33,-1.20,-170.62,0.00
345.82,0.33,-0.97,-168.75,0.00
346.96,0.33,-0.97,-168.75,0.00
348.09,0.33,-0.97,-168.75,0.00
349.22,0.33,-0.97,-168.75,0.00
350.35,0.32,-1.02,-170.62,0.00
351.48,0.32,-1.02,-170.62,0.00
352.62,0.32,-1.02,-170.62,0.00
353.75,0.32,-1.02,-166.87,0.00
354.90,0.32,-1.02,-166.87,0.00
356.03,0.32,-1.12,-166.87,0.00
357.16,0.32,-1.12,-166.87,0.00
358.30,0.32,-1.12,-168.75,0.00
359.43,0.32,-1.12,-168.75,0.00
360.60,0.31,-1.02,-168.75,0.00
361.73,0.31,-1.02,-168.75,0.00
362.86,0.31,-1.02,-168.75,0.00
364.00,0.31,-1.02,-168.75,0.00
365.14,0.31,-1.00,-168.75,0.00
366.27,0.31,-1.00,-168.75,0.00
367.41,0.31,-1.00,-168.75,0.00
368.54,0.31,-1.00,-168.75,0.00
369.70,0.31,-1.00,-168.75,0.00
370.83,0.30,-0.95,-168.75,0.00
371.96,0.30,-0.95,-168.75,0.00
373.09,0.30,-0.95,-168.75,0.00
374.23,0.30,-0.95,-166.87,0.00
375.41,0.30,-0.91,-166.87,0.00
376.54,0.30,-0.91,-166.87,0.00
377.67,0.30,-0.91,-170.62,0.00
378.81,0.30,-0.91,-170.62,0.00
379.94,0.30,-0.91,-170.62,0.00
381.08,0.29,-0.72,-170.62,0.00
382.21,0.29,-0.72,-170.62,0.00
383.34,0.29,-0.72,-170.62,0.00
384.48,0.29,-0.72,-170.62,0.00
385.62,0.29,-1.04,-170.62,0.00
386.75,0.29,-1.04,-170.62,0.00
387.89,0.29,-1.04,-170.62,0.00
389.02,0.29,-1.04,-170.62,0.00
390.15,0.29,-1.04,-168.75,0.00
391.29,0.29,-0.75,-168.75,0.00
392.43,0.29,-0.75,-168.75,0.00
393.56,0.29,-0.75,-168.75,0.00
394.69,0.29,-0.75,-170.62,0.00
395.83,0.28,-1.01,-170.62,0.00
396.97,0.28,-1.01,-170.62,0.00
398.10,0.28,-1.01,-170.62,0.00
399.24,0.28,-1.01,-168.75,0.00
400.37,0.28,-1.13,-168.75,0.00
401.51,0.28,-1.13,-168.75,0.00
402.64,0.28,-1.13,-168.75,0.00
403.77,0.28,-1.13,-168.75,0.00
404.91,0.28,-1.13,-168.75,0.00
406.05,0.27,-0.91,-168.75,0.00
407.18,0.27,-0.91,-166.87,0.00
408.31,0.27,-0.91,-166.87,0.00
409.45,0.27,-0.91,-166.87,0.00
410.58,0.27,-1.02,-170.62,0.00
411.72,0.27,-1.02,-170.62,0.00
412.86,0.27,-1.02,-170.62,0.00
414.00,0.27,-1.02,-170.62,0.00
415.13,0.26,-0.82,-170.62,0.00
416.30,0.26,-0.82,-170.62,0.00
417.42,0.26,-0.82,-170.62,0.00
418.55,0.26,-0.82,-170.62,0.00
419.68,0.26,-0.82,-170.62,0.00
420.82,0.26,-1.09,-170.62,0.00
421.95,0.26,-1.09,-170.62,0.00
423.09,0.26,-1.09,-168.75,0.00
424.22,0.26,-1.09,-168.75,0.00
425.35,0.25,-1.03,-168.75,0.00
426.49,0.25,-1.03,-168.75,0.00
427.62,0.25,-1.03,-166.87,0.00
428.75,0.25,-1.03,-166.87,0.00
429.93,0.25,-1.09,-166.87,0.00
431.06,0.25,-1.09,-168.75,0.00
432.20,0.25,-1.09,-168.75,0.00
433.33,0.25,-1.09,-168.75,0.00
434.46,0.25,-1.09,-168.75,0.00
435.60,0.24,-1.10,-168.75,0.00
436.73,0.24,-1.10,-168.75,0.00
437.86,0.24,-1.10,-168.75,0.00
439.00,0.24,-1.10,-170.62,0.00
440.13,0.24,-0.99,-170.62,0.00
441.27,0.24,-0.99,-170.62,0.00
442.40,0.24,-0.99,-170.62,0.00
443.54,0.24,-0.99,-166.87,0.00
444.67,0.24,-0.99,-166.87,0.00
445.81,0.23,-0.97,-166.87,0.00
446.94,0.23,-0.97,-166.87,0.00
448.08,0.23,-0.97,-170.62,0.00
449.21,0.23,-0.97,-170.62,0.00
450.34,0.23,-1.04,-170.62,0.00
451.48,0.23,-1.04,-170.62,0.00
452.61,0.23,-1.04,-170.62,0.00
453.75,0.23,-1.04,-170.62,0.00
454.88,0.22,-1.11,-170.62,0.00
456.05,0.22,-1.11,-170.62,0.00
457.19,0.22,-1.11,-170.62,0.00
458.32,0.22,-1.11,-170.62,0.00
459.45,0.22,-1.11,-170.62,0.00
460.59,0.21,-1.10,-172.50,0.00
461.73,0.21,-1.10,-172.50,0.00
462.86,0.21,-1.10,-172.50,0.00
464.00,0.21,-1.10,-168.75,0.00
465.14,0.21,-1.18,-168.75,0.00
466.28,0.21,-1.18,-168.75,0.00
467.42,0.21,-1.18,-168.75,0.00
468.55,0.21,-1.18,-168.75,0.00
469.68,0.21,-1.18,-168.75,0.00
470.86,0.20,-0.88,-168.75,0.00
471.99,0.20,-0.88,-168.75,0.00
473.13,0.20,-0.88,-170.62,0.00
474.26,0.20,-0.88,-170.62,0.00
475.39,0.20,-0.98,-170.62,0.00
476.53,0.20,-0.98,-168.75,0.00
477.66,0.20,-0.98,-168.75,0.00
478.79,0.20,-0.98,-168.75,0.00
479.95,0.20,-0.77,-168.75,0.00
481.08,0.20,-0.77,-168.75,0.00
482.22,0.20,-0.77,-168.75,0.00
483.35,0.20,-0.77,-168.75,0.00
484.49,0.20,-0.77,-168.75,0.00
485.66,0.19,-0.72,-168.75,0.00
486.79,0.19,-0.72,-168.75,0.00
487.92,0.19,-0.72,-168.75,0.00
489.05,0.19,-0.72,-172.50,0.00
490.19,0.19,-1.07,-172.50,0.00
491.33,0.19,-1.07,-172.50,0.00
492.46,0.19,-1.07,-172.50,0.00
493.59,0.19,-1.07,-170.62,0.00
494.75,0.19,-1.07,-170.62,0.00
495.89,0.18,-0.94,-170.62,0.00
497.02,0.18,-0.94,-168.75,0.00
498.16,0.18,-0.94,-168.75,0.00
499.29,0.18,-0.94,-168.75,0.00
500.46,0.18,-0.93,-168.75,0.00
501.60,0.18,-0.93,-168.75,0.00
502.73,0.18,-0.93,-168.75,0.00
