time,theta_b,dtheta_b,dtheta_w
3018.57,-28.19,-2.85,647.24,-1.00
3035.07,-28.20,-1.97,647.24,-1.00
3040.15,-28.21,-1.10,647.24,-1.00
3045.22,-28.21,-1.32,647.24,-1.00
3061.75,-28.22,-1.29,647.24,-1.00
3066.82,-28.23,-0.46,647.24,-1.00
3071.90,-28.24,-3.58,647.24,-1.00
3088.41,-28.26,-4.86,647.24,-1.00
3093.49,-28.29,-1.55,647.24,-1.00
3098.56,-28.32,-6.15,647.24,-1.00
3115.07,-28.33,-4.08,647.24,-1.00
3120.15,-28.32,3.70,647.24,-1.00
3125.22,-28.29,6.53,647.24,-1.00
3141.75,-28.26,7.83,647.24,-1.00
3146.82,-28.23,1.66,647.24,-1.00
3151.90,-28.21,4.95,647.24,-1.00
3168.41,-28.20,2.61,647.24,-1.00
3173.48,-28.20,-1.04,647.24,-1.00
3178.56,-28.21,-2.07,647.24,-1.00
3195.08,-28.22,-0.44,647.24,-1.00
3200.16,-28.23,-0.80,647.24,-1.00
3205.24,-28.22,0.99,647.24,-1.00
3221.75,-28.22,0.99,647.24,-1.00
3226.83,-28.20,0.88,647.24,-1.00
3231.90,-28.18,0.68,647.24,-1.00
3248.42,-28.18,0.68,647.24,-1.00
3253.49,-28.19,-0.10,647.24,-1.00
3258.57,-28.21,-4.57,647.24,-1.00
3275.08,-28.26,-9.59,647.24,-1.00
3280.16,-28.31,-3.40,647.24,-1.00
3285.24,-28.39,-16.08,647.24,-1.00
3301.75,-28.47,-17.21,647.24,-1.00
3306.83,-28.55,-4.23,647.24,-1.00
3311.90,-28.59,-9.61,647.24,-1.00
3328.42,-28.62,-5.68,647.24,-1.00
3333.49,-28.63,-0.47,647.24,-1.00
3338.57,-28.59,5.24,647.24,-1.00
3355.08,-28.59,5.24,647.24,-1.00
3360.16,-28.58,0.98,647.24,-1.00
3365.24,-28.57,1.11,647.24,-1.00
3381.75,-28.58,-1.60,647.24,-1.00
3386.83,-28.60,-1.41,647.24,-1.00
