time,theta_b,dtheta_b,dtheta_w
2357.93,0.00,nan,-38111.68,0.00
2368.21,0.00,nan,-38031.70,0.00
2378.48,0.00,nan,-38030.21,0.00
2388.76,0.00,nan,-37986.67,0.00
2399.03,0.00,nan,-37891.54,0.00
2409.31,0.00,nan,-37846.99,0.00
2419.59,0.00,nan,-37773.16,0.00
2429.86,0.00,nan,-37713.23,0.00
2440.14,0.00,nan,-37639.71,0.00
2450.42,0.00,nan,-37569.99,0.00
2460.83,0.00,nan,-37476.63,0.00
2471.19,0.00,nan,-37383.98,0.00
2481.55,0.00,nan,-37294.76,0.00
2491.91,0.00,nan,-37202.49,0.00
2502.26,0.00,nan,-37060.46,0.00
2512.62,0.00,nan,-36972.06,0.00
2522.97,0.00,0.00,-36880.29,0.00
2533.33,0.00,nan,-36735.11,0.00
2543.74,0.00,nan,-36609.31,0.00
2554.15,0.00,0.00,-36481.96,0.00
2564.56,0.00,nan,-36331.82,0.00
2574.97,0.00,nan,-36199.90,0.00
2585.37,0.00,0.00,-36039.00,0.00
2595.78,0.00,nan,-35906.93,0.00
2606.19,0.00,0.00,-35750.37,0.00
2616.59,0.00,nan,-35581.95,0.00
2627.00,0.00,nan,-35412.28,0.00
2637.41,0.00,nan,-35261.28,0.00
2647.81,0.00,nan,-35078.63,0.00
2658.22,0.00,nan,-34931.91,0.00
2668.63,0.00,nan,-34746.49,0.00
2679.03,0.00,nan,-34566.02,0.00
2689.42,0.00,nan,-34383.92,0.00
2699.83,0.00,nan,-34200.10,0.00
2710.24,0.00,nan,-33961.58,0.00
2720.63,0.00,0.00,-33780.84,0.00
2731.04,0.00,nan,-33542.97,0.00
2741.44,0.00,nan,-33353.99,0.00
2751.85,0.00,nan,-33133.65,0.00
2762.26,0.00,nan,-32909.19,0.00
2772.66,0.00,nan,-32677.54,0.00
2783.07,0.00,nan,-32476.25,0.00
2793.47,0.00,nan,-32255.87,0.00
2803.88,0.00,nan,-32005.68,0.00
2814.29,0.00,nan,-31765.69,0.00
2824.69,0.00,nan,-31522.70,0.00
2835.10,0.00,nan,-31290.35,0.00
2845.50,0.00,nan,-31008.57,0.00
2855.91,0.00,nan,-30755.49,0.00
2866.31,0.00,nan,-30507.59,0.00
2876.72,0.00,nan,-30221.73,0.00
2887.13,0.00,nan,-29970.73,0.00
2897.53,0.00,nan,-29690.76,0.00
2907.94,0.00,nan,-29408.57,0.00
2918.36,0.00,nan,-29120.48,0.00
2928.76,0.00,nan,-28864.94,0.00
2939.17,0.00,nan,-28566.22,0.00
2949.57,0.00,nan,-28235.92,0.00
2959.98,0.00,nan,-27919.91,0.00
2970.39,0.00,nan,-27634.98,0.00
2980.80,0.00,nan,-27322.72,0.00
2991.21,0.00,nan,-27053.16,0.00
3001.61,0.00,nan,-26733.37,0.00
3012.02,0.00,nan,-26422.72,0.00
3022.43,0.00,nan,-26109.29,0.00
